id_fato,submission_id,created_at,duracao_segundos,clima,origem,versao_form,description,id_user_tipo,user_tipo,id_emocao_atual,emocao_atual,intensidade_atual,id_emocao_maioria,emocao_maioria,intensidade_maioria,id_emocao_ultimo,emocao_ultimo,intensidade_ultimo,id_causa,causa,pulou_causa
141,f0f82040-c56b-4985-a5af-f5067f841f60,2025-10-21 00:27:03.142823+00,67,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,3,2,OTIMISMO,4,3,PAIXÃO,5,4,RELACIONAMENTO,false
140,7eef9f72-e117-4e3c-a269-b20751f103ad,2025-10-16 23:56:36.950572+00,104,null,null,v2.0.0,,1,Professor,1,ALEGRIA,0,2,OTIMISMO,3,1,ALEGRIA,2,1,FAMILIA,false
139,99869ee8-e523-4cb8-8699-494c5ff80d70,2025-10-16 23:55:09.454358+00,34,null,null,v2.0.0,,1,Professor,1,ALEGRIA,5,2,OTIMISMO,5,6,ANSIEDADE,5,2,ESTUDO,false
138,c1263399-bdd5-49fb-86d4-d2ea5004fbeb,2025-10-16 23:54:09.05464+00,37,null,null,v2.0.0,,1,Professor,2,OTIMISMO,3,2,OTIMISMO,3,2,OTIMISMO,3,3,TRABALHO,false
137,d4321f95-8070-47b5-818d-fa1a68803c58,2025-10-16 23:54:06.630468+00,78,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,3,2,OTIMISMO,3,7,TRISTEZA,2,2,ESTUDO,false
136,313bd928-00ce-44b6-800f-ce1c37f0c0e0,2025-10-16 23:53:34.564416+00,54,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,4,1,ALEGRIA,4,7,TRISTEZA,3,4,RELACIONAMENTO,false
135,ddd83b67-5547-4def-8ca6-d343e59dc03e,2025-10-16 23:53:15.785516+00,61,null,null,v2.0.0,Excelente,2,Aluno,2,OTIMISMO,4,2,OTIMISMO,3,2,OTIMISMO,4,3,TRABALHO,false
134,47284088-b0a5-44e0-9602-f16ee35ee4ce,2025-10-16 23:52:58.878319+00,60,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,3,1,ALEGRIA,3,2,OTIMISMO,3,2,ESTUDO,false
133,05d8ff63-7cc0-44ab-b3d6-2e71075d148c,2025-10-16 23:50:57.87845+00,86,null,null,v2.0.0,Ansioso para avaliar os banners,1,Professor,1,ALEGRIA,4,2,OTIMISMO,3,6,ANSIEDADE,1,3,TRABALHO,false
132,89f6ba0a-c202-4056-bee2-b633b1db042d,2025-10-16 23:48:18.803209+00,32,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,2,4,INDIFERENÇA,4,2,OTIMISMO,2,2,ESTUDO,false
131,13c8b433-c38a-43cb-9f6e-66ffd05bc3b2,2025-10-16 23:45:23.652818+00,43,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,4,1,ALEGRIA,5,1,ALEGRIA,4,1,FAMILIA,false
130,cb79db3f-35c9-4490-b0c6-f95d88bd3f50,2025-10-16 22:45:51.721823+00,55,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,3,4,INDIFERENÇA,2,5,RAIVA,3,4,RELACIONAMENTO,false
129,8d00fe06-8484-4527-abb8-fdbad05942c8,2025-10-16 22:42:53.606312+00,42,null,null,v2.0.0,,2,Aluno,5,RAIVA,3,7,TRISTEZA,3,7,TRISTEZA,5,4,RELACIONAMENTO,false
128,14999587-2e0e-4ccf-899c-acfc6f39d654,2025-10-16 22:19:21.834834+00,38,null,null,v2.0.0,Barrola,2,Aluno,4,INDIFERENÇA,4,2,OTIMISMO,4,2,OTIMISMO,4,3,TRABALHO,false
127,17774c2c-601d-4683-8827-1aa227375522,2025-10-16 22:16:08.004136+00,72,null,null,v2.0.0,bem,2,Aluno,1,ALEGRIA,3,2,OTIMISMO,4,6,ANSIEDADE,3,2,ESTUDO,false
126,3d2528a6-3389-444e-afec-9acf5d2a3a2e,2025-10-16 22:15:55.798927+00,123,null,null,v2.0.0,bem,2,Aluno,2,OTIMISMO,3,2,OTIMISMO,4,2,OTIMISMO,4,3,TRABALHO,false
125,68749e76-48eb-40b7-bd93-0b72b3d3ddd2,2025-10-16 22:07:52.201797+00,44,null,null,v2.0.0,Feliz!,2,Aluno,3,PAIXÃO,2,1,ALEGRIA,4,1,ALEGRIA,3,2,ESTUDO,false
124,e32b050a-9d47-4e01-927b-fced460d389f,2025-10-16 22:07:32.34808+00,45,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,3,1,ALEGRIA,3,1,ALEGRIA,3,1,FAMILIA,false
123,07c52ff3-c4db-4da8-8912-306da9aba7ca,2025-10-16 21:22:33.552936+00,75,null,null,v2.0.0,"bem, quero fazer amor com o Davi specia",2,Aluno,1,ALEGRIA,5,2,OTIMISMO,5,1,ALEGRIA,5,4,RELACIONAMENTO,false
122,d1162eb3-0bc6-46aa-8811-de039e89a214,2025-10-15 22:28:04.10968+00,91,null,null,v2.0.0,bravo 😡,2,Aluno,5,RAIVA,5,5,RAIVA,5,6,ANSIEDADE,2,2,ESTUDO,false
121,7bc8afcf-d7fc-49a8-851b-c5ad58b5205f,2025-10-15 22:10:58.173917+00,37,null,null,v2.0.0,bem,2,Aluno,2,OTIMISMO,4,2,OTIMISMO,4,2,OTIMISMO,3,2,ESTUDO,false
120,f9a17e06-0405-4d1a-bb9c-8b9c957aea42,2025-10-15 22:10:08.786501+00,110,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,2,2,OTIMISMO,3,1,ALEGRIA,4,4,RELACIONAMENTO,false
119,ff7119cd-996e-4e34-a564-7f753f9620a8,2025-10-15 22:03:47.180335+00,43,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,4,1,ALEGRIA,4,1,ALEGRIA,4,4,RELACIONAMENTO,false
118,5e6cf60c-abd4-40ab-b812-0ff2fd35889d,2025-10-09 00:46:16.455422+00,48,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,2,6,ANSIEDADE,2,4,INDIFERENÇA,3,2,ESTUDO,false
117,4622f626-baa3-4592-a969-4c9601421b00,2025-10-09 00:45:18.138975+00,53,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,0,2,OTIMISMO,4,1,ALEGRIA,4,4,RELACIONAMENTO,false
116,a4eb0093-14a2-41d4-be74-882e663b4ccd,2025-10-09 00:44:14.389067+00,58,null,null,v2.0.0,,2,Aluno,6,ANSIEDADE,4,2,OTIMISMO,5,6,ANSIEDADE,5,2,ESTUDO,false
115,6e14b915-a70e-447a-872b-fd3c59f90758,2025-10-09 00:41:56.464051+00,58,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,1,6,ANSIEDADE,3,7,TRISTEZA,4,3,TRABALHO,false
114,844a0500-bb3a-4bfd-ab2f-8ed42ef3c45d,2025-10-09 00:40:46.216214+00,62,null,null,v2.0.0,"estou me sentindo muito bem, com pensamentos positivos, principalmente depois da semana de provas da universidade",2,Aluno,2,OTIMISMO,3,1,ALEGRIA,3,6,ANSIEDADE,4,2,ESTUDO,false
113,f0b90978-0a58-4ce6-8fe0-024ee989900f,2025-10-09 00:37:38.561962+00,115,null,null,v2.0.0,apática,2,Aluno,1,ALEGRIA,3,6,ANSIEDADE,3,1,ALEGRIA,3,1,FAMILIA,false
112,65042168-ce89-432b-b1e6-6285fa49aed0,2025-10-09 00:35:34.38784+00,31,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,3,4,INDIFERENÇA,4,4,INDIFERENÇA,1,2,ESTUDO,false
111,9ff7eb87-3249-49b4-a2c4-2c1516986cd3,2025-10-09 00:34:49.763639+00,68,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,3,3,PAIXÃO,5,7,TRISTEZA,5,4,RELACIONAMENTO,false
110,f2d53e64-bbcc-4f65-aa58-73f56a846002,2025-10-09 00:30:13.412972+00,88,null,null,v2.0.0,,1,Professor,1,ALEGRIA,5,1,ALEGRIA,5,1,ALEGRIA,0,2,ESTUDO,false
109,0e7bdd99-bab3-4ef9-bd8c-8454cb8a5f30,2025-10-09 00:27:50.622468+00,72,null,null,v2.0.0,Estou feliz e otimista pelas conquistas.,1,Professor,2,OTIMISMO,5,2,OTIMISMO,4,6,ANSIEDADE,3,2,ESTUDO,false
108,42aa7f81-841c-4f60-9d03-f90cc445791e,2025-10-09 00:26:24.518214+00,162,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,5,4,INDIFERENÇA,5,2,OTIMISMO,3,3,TRABALHO,false
107,6b09a245-49f1-4a69-8b47-3e903d5beaf0,2025-10-09 00:23:13.463349+00,32,null,null,v2.0.0,Tô em uma semana meio perturbada,2,Aluno,6,ANSIEDADE,5,7,TRISTEZA,3,2,OTIMISMO,4,1,FAMILIA,false
106,10982b8b-c0d1-420b-99a3-dc773d9b40be,2025-10-09 00:22:31.029855+00,47,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,4,6,ANSIEDADE,5,6,ANSIEDADE,3,2,ESTUDO,false
